trip_id,arrival_time,departure_time,stop_id,stop_sequence
50110110,06:26:07,06:26:27,0510GIE,16
50110110,06:27:20,06:27:40,0500SYJ,17
50110110,06:28:21,06:28:41,0510AAD,18
50110110,06:29:36,06:29:56,0500OBT,19
50110110,06:31:54,06:32:14,0500SYK,20
50110110,06:34:35,06:34:55,0500NTN,21
50110110,06:35:46,06:36:06,0500MBT,22
50110110,06:37:43,06:38:03,0500KAP,23
50110110,06:39:38,06:39:58,0500SKR,24
50110110,06:41:13,06:41:33,0500RLN,25
50110110,06:42:09,06:42:29,0510RGS,26
50110110,06:43:16,06:43:36,0510NIY,27
50110110,06:44:29,06:44:49,0500APJ,28
50110110,06:47:22,06:47:42,0500STM,29
50110110,06:49:06,06:49:26,0500AAL,30
50110110,06:51:40,06:52:00,0510IAA,31
50110110,06:54:15,06:54:35,0510GMS,32
50110110,06:55:54,06:56:14,0500SMR,33
50110110,06:57:14,06:57:34,0510MBL,34
50110110,06:58:47,06:59:07,0500PNR,35
50110110,07:00:05,07:00:25,0510Z0A,36
50110110,07:01:27,07:01:47,0510ATL,37
50110110,07:03:02,07:03:22,0510JAS,38
50110110,07:04:08,07:04:28,0500SHL,39
50110110,07:05:29,07:05:49,0510BLV,40
50110110,07:09:31,07:09:51,0500NYY,41
50110110,07:11:20,07:11:40,0510OCU,42
50110110,07:12:10,07:12:30,0510KAB,43
50110110,07:13:57,07:14:17,0510AGP,44
50110110,07:15:52,07:16:12,0512EAS,45
50110111,06:00:00,06:00:20,0512EAS,1
50110111,06:03:55,06:04:15,0501NYY,2
50110111,06:05:10,06:05:30,0511IFC,3
50110111,06:07:31,06:07:51,0511CPC,4
50110111,06:09:07,06:09:27,0511BLV,5
50110111,06:10:31,06:10:51,0511SST,6
50110111,06:12:33,06:12:53,0511PST,7
50110111,06:13:50,06:14:10,0511NOI,8
50110111,06:14:24,06:14:44,0511ARA,9
50110111,06:15:35,06:15:55,0511PNR,10
50110111,06:16:31,06:16:51,0511MTA,11
50110111,06:17:27,06:17:47,0501SDG,12
50110111,06:19:36,06:19:56,0511ALB,13
50110111,06:20:15,06:20:35,0511SMR,14
